151.005964, -34.210425, "Otford Station; 134"
151.032295, -33.951919, "Padstow Station; 135"
150.997761, -33.954353, "Panania Station; 136"
151.005197, -33.817459, "Parramatta Station; 137"
150.956325, -33.801363, "Pendle Hill Station; 138"
151.072554, -33.737993, "Pennant Hills Station; 139"
150.696301, -33.750056, "Penrith Station; 140"
151.08935, -33.966141, "Penshurst Station; 141"
151.155279, -33.893925, "Petersham Station; 142"
151.327055, -33.447356, "Point Clare Station; 143"
150.900064, -34.477128, "Port Kembla Station; 144"
151.055667, -33.925439, "Punchbowl Station; 145"
151.141897, -33.744678, "Pymble Station; 146"
150.886656, -33.727938, "Quakers Hill Station; 147"
151.198393, -33.892174, "Redfern Station; 148"
151.024107, -33.883007, "Regents Park Station; 149"
151.014816, -33.952472, "Revesby Station; 150"
151.086968, -33.830527, "Rhodes Station; 151"
150.810211, -33.61558, "Richmond Station; 152"
150.860329, -33.679109, "Riverstone Station; 153"
151.052032, -33.951563, "Riverwood Station; 154"
151.136873, -33.951942, "Rockdale Station; 155"
150.845126, -33.771512, "Rooty Hill Station; 156"
151.022082, -33.823129, "Rosehill Station; 157"
151.177219, -33.784169, "Roseville Station; 158"
151.029201, -33.810002, "Rydalmere Station; 159"
150.950529, -34.282287, "Scarborough Station; 160"
150.869984, -33.696908, "Schofields Station; 161"
151.011399, -33.885245, "Sefton Station; 162"
150.936458, -33.774382, "Seven Hills Station; 163"
150.562736, -33.69841, "Springwood Station; 164"
151.211185, -33.870413, "St James Station; 165"
151.194183, -33.822391, "St Leonards Station; 166"
150.775925, -33.762252, "St Marys Station; 167"
151.180324, -33.907421, "St Peters Station; 168"
151.163894, -33.89453, "Stanmore Station; 169"
150.980992, -34.226468, "Stanwell Park Station; 170"
151.094334, -33.871806, "Strathfield Station; 171"
151.139396, -33.89052, "Summer Hill Station; 172"
151.057079, -34.03189, "Sutherland Station; 173"
151.166507, -33.914526, "Sydenham Station; 174"
151.128342, -33.73229, "Tarramurra Station; 175"
151.315842, -33.453318, "Tascott Station; 176"
151.041577, -33.793723, "Telopea Station; 177"
151.156382, -33.92455, "Tempe Station; 178"
151.6037548, -32.9623987, "Teralba Station; 179"
151.078355, -33.73188, "Thornleigh Station; 180"
150.951446, -33.787338, "Toongabbie Station; 181"
151.206664, -33.873824, "Town Hall Station; 182"
151.139906, -33.929938, "Turrella Station; 183"
150.57968, -33.701166, "Valley Heights Station; 184"
150.976098, -33.880924, "Villawood Station; 185"
150.850802, -33.649504, "Vineyard Station; 186"
151.117015, -33.717548, "Wahroonga Station; 187"
151.104392, -33.710041, "Waitara Station; 188"
151.121746, -33.724307, "Warrawee Station; 189"
150.935059, -33.913356, "Warrick Farm Station; 190"
150.598889, -33.720924, "Warrimoo Station; 191"
150.994491, -34.134389, "Waterfall Station; 192"
151.197698, -33.838123, "Waverton Station; 193"
150.380955, -33.714077, "Wentworth Falls Station; 194"
150.972615, -33.807155, "Wentworthville Station; 195"
150.758198, -33.759204, "Werrington Station; 196"
151.090282, -33.807144, "West Ryde Station; 197"
150.987956, -33.808498, "Westmead Station; 198"
151.067314, -33.922979, "Wiley Park Station; 199"
151.153302, -33.928483, "Wolli Creek Station; 200"
151.191753, -33.83185, "Wollstonecraft Station; 201"
151.257008, -33.491787, "Wondabyne Station; 202"
150.479757, -33.733836, "Woodford Station; 203"
151.144047, -34.047691, "Woolooware Station; 204"
151.320743, -33.487948, "Woy Woy Station; 205"
151.205698, -33.865953, "Wynyard Station; 206"
151.426413, -33.280817, "Wyong Station; 207"
151.024162, -33.906574, "Yagoona Station; 208"
150.971066, -33.864708, "Yennora Station; 209"
150.187384, -33.467815, "Zig Zag Station; 210"
